training_seed,saved_episode,test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
44,10,950015,CA-MADDPG-V2.2 Seed 44,-221.84107404280178,0.51,1696.5140271842706,40246.054645045784
44,10,950016,CA-MADDPG-V2.2 Seed 44,-249.6970346751162,0.43,1594.2031805608733,31213.843823240328
44,10,950017,CA-MADDPG-V2.2 Seed 44,-257.13132935545144,0.43,2005.3994706382603,44227.21944994084
44,10,950018,CA-MADDPG-V2.2 Seed 44,-205.2905912741919,0.5,1445.6346593460971,30453.475797800333
44,10,950019,CA-MADDPG-V2.2 Seed 44,-212.30737433899895,0.51,1754.794486098041,41468.85022826888
44,10,950020,CA-MADDPG-V2.2 Seed 44,-184.32796692688012,0.51,1319.3519974559538,29119.130043089357
44,10,950021,CA-MADDPG-V2.2 Seed 44,-188.17120650140478,0.53,1485.8742454729463,31639.91854508085
44,10,950022,CA-MADDPG-V2.2 Seed 44,-187.62768669847048,0.54,1523.292249902534,29727.290398227116
44,10,950023,CA-MADDPG-V2.2 Seed 44,-208.08428970382772,0.49,2039.8512780280998,47824.08682234149
44,10,950024,CA-MADDPG-V2.2 Seed 44,-195.2257994559853,0.53,1594.6785794775228,32894.002563802416
44,10,950025,CA-MADDPG-V2.2 Seed 44,-242.88624477160573,0.46,1755.2708238475066,41209.35014080436
44,10,950026,CA-MADDPG-V2.2 Seed 44,-261.8390278727565,0.45,1875.8632646779256,45190.330712784045
44,10,950027,CA-MADDPG-V2.2 Seed 44,-255.61778812848925,0.43,1643.5405332006287,32569.274049094332
44,10,950028,CA-MADDPG-V2.2 Seed 44,-246.9155563168678,0.44,1881.7240594325642,42784.29849342376
44,10,950029,CA-MADDPG-V2.2 Seed 44,-268.5350597255813,0.44,1739.3922462816838,39581.864491757864
44,10,950030,CA-MADDPG-V2.2 Seed 44,-223.00677941139497,0.47,1548.3336285431228,36554.99118448595
44,10,950031,CA-MADDPG-V2.2 Seed 44,-255.59271008082928,0.46,1759.8788839119254,39867.52878573346
44,10,950032,CA-MADDPG-V2.2 Seed 44,-259.6426738116768,0.41,1613.4999955243538,31057.087663933762
44,10,950033,CA-MADDPG-V2.2 Seed 44,-214.97301725605837,0.5,1793.4840806027644,39528.386560634215
44,10,950034,CA-MADDPG-V2.2 Seed 44,-234.11210818632836,0.48,1782.0708073029837,43849.83978001779
44,10,950035,CA-MADDPG-V2.2 Seed 44,-229.8190961486727,0.48,1747.6796151929427,40254.24288489576
44,10,950036,CA-MADDPG-V2.2 Seed 44,-228.3641878373895,0.49,1719.4659105991832,37973.86399119072
44,10,950037,CA-MADDPG-V2.2 Seed 44,-231.56647579528627,0.47,1791.263158176619,41479.26309511301
44,10,950038,CA-MADDPG-V2.2 Seed 44,-159.28614870460453,0.58,1370.6964402044105,31027.881507047205
44,10,950039,CA-MADDPG-V2.2 Seed 44,-189.1610307582327,0.51,1509.31190789906,31485.65376024043
44,10,950040,CA-MADDPG-V2.2 Seed 44,-162.0287096719499,0.56,1526.0825115675193,31176.70965315004
44,10,950041,CA-MADDPG-V2.2 Seed 44,-264.82260397201685,0.41,1902.7915082282834,42523.23587486802
