method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U2 resource 0.98,uav_U2,0.98,950013,-241.29498908340722,0.45,1804.4701110439419,44379.75848209234
Fixed uav_U2 resource 0.98,uav_U2,0.98,950014,-163.14930836229905,0.6,1766.7069811483298,44221.39410391717
Fixed uav_U2 resource 0.98,uav_U2,0.98,950015,-244.8232809312024,0.49,1942.3141596759563,51805.023805306686
Fixed uav_U2 resource 0.98,uav_U2,0.98,950016,-276.0695057235894,0.4,1784.702253739569,40169.87599663243
Fixed uav_U2 resource 0.98,uav_U2,0.98,950017,-279.243287087211,0.41,2275.4751797374533,56925.56040394825
Fixed uav_U2 resource 0.98,uav_U2,0.98,950018,-230.93414821447968,0.47,1631.3829969061178,39195.426441038326
Fixed uav_U2 resource 0.98,uav_U2,0.98,950019,-241.39584160883058,0.48,2008.3578879972283,53379.166617518844
Fixed uav_U2 resource 0.98,uav_U2,0.98,950020,-210.3020872419086,0.48,1497.0637366923938,37479.511468650504
Fixed uav_U2 resource 0.98,uav_U2,0.98,950021,-217.4881333465385,0.49,1678.9468190493353,40722.240597514596
Fixed uav_U2 resource 0.98,uav_U2,0.98,950022,-231.63032810378058,0.46,1704.5262448723142,38257.04074892308
Fixed uav_U2 resource 0.98,uav_U2,0.98,950023,-238.202944834594,0.45,2331.6987430131294,61559.219483534645
Fixed uav_U2 resource 0.98,uav_U2,0.98,950024,-222.944206025568,0.49,1795.281306643403,42335.26703916387
Fixed uav_U2 resource 0.98,uav_U2,0.98,950025,-275.9101801376879,0.41,2006.7518675831088,53044.931477949016
Fixed uav_U2 resource 0.98,uav_U2,0.98,950026,-287.3272738041857,0.42,2151.8686364570885,58170.24097718374
Fixed uav_U2 resource 0.98,uav_U2,0.98,950027,-282.1695199091258,0.4,1842.3130890584462,41914.79500311059
Fixed uav_U2 resource 0.98,uav_U2,0.98,950028,-285.19172938317445,0.38,2142.7970630956866,55070.242794295984
Fixed uav_U2 resource 0.98,uav_U2,0.98,950029,-303.1379717163567,0.39,1980.9080523361158,50948.158474991156
