test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950014,-161.19172298618486,0.6,1790.1197337069814,41204.815601578885,44,30
950015,-234.5131178416598,0.51,1903.5550643119716,53928.01540144878,44,30
950016,-273.552881724457,0.4,1749.0577681472926,41815.782348860266,44,30
950017,-277.92606841239484,0.41,2245.471705858219,59484.59486490355,44,30
950018,-228.6607311300597,0.47,1598.8207441537027,40800.87668107778,44,30
950019,-238.63401048145994,0.48,1968.2522558855635,55569.03329826247,44,30
950020,-203.81534511365953,0.49,1467.1611367631124,39016.86739889457,44,30
950021,-215.1225325408547,0.49,1645.415044851198,42391.80991116862,44,30
950022,-225.4224452154269,0.47,1670.496412662789,39823.61870340245,44,30
950023,-231.84494860731274,0.46,3840.9404256036664,56348.444773227246,44,30
950024,-212.67384418789487,0.51,1759.490848215494,44065.36568517236,44,30
950025,-273.42335773602565,0.41,1974.7292008272602,52541.65469861188,44,30
950026,-285.275425284475,0.42,2111.6498628411723,60625.244559340244,44,30
950027,-279.63099656678503,0.4,1805.520138152582,43632.17277952552,44,30
950028,-282.65299046632816,0.38,2100.005825079151,57328.960208848825,44,30
950029,-298.1522957342375,0.4,2042.9926235225107,55617.05538606932,44,30
950030,-242.96379203857776,0.45,1737.1180046950858,48996.884139303475,44,30
950031,-268.55116958202535,0.46,1971.9047436825663,53550.79410316607,44,30
950032,-278.8865432168163,0.39,1766.993175498124,41604.555870593445,44,30
950033,-230.38275793220816,0.49,1994.0397848039415,52960.22622491138,44,30
950034,-253.55269208051357,0.46,1999.1767478087886,56789.80706733575,44,30
950035,-252.02345005592463,0.46,1953.9842894013243,53939.28892391274,44,30
950036,-263.93223638426855,0.43,1922.794072510889,51107.46912392902,44,30
950037,-263.0175660736541,0.42,1979.9949012484744,53981.36597442864,44,30
950038,-170.47547952977322,0.58,1529.24457862248,41575.31185308143,44,30
950039,-217.44294306938204,0.47,1708.844830417139,42814.28514596066,44,30
950040,-186.08858731086403,0.53,1727.1557540426538,42667.89931125545,44,30
950041,-296.1589896082551,0.36,2119.078936910958,56977.764445857814,44,30
950042,-230.06108605591126,0.49,1898.549828998599,50881.39461152107,44,30
950043,-188.5685230740486,0.53,2089.342784879708,44800.96154265353,44,30
950044,-199.01836001731087,0.52,1616.0864858226334,43006.197653308154,44,30
950045,-242.65387940771478,0.45,1837.5572417392455,52115.91195671605,44,30
950046,-242.76086558067865,0.47,1862.5320076481753,50722.13093611539,44,30
950047,-280.16033995456246,0.39,1690.8507540296698,37668.99186604,44,30
950048,-298.1831762654266,0.39,2305.5395272671162,65036.47116521968,44,30
950049,-272.3060221180493,0.39,2104.0408957935956,53682.97143251316,44,30
950050,-274.1124294615471,0.44,2464.5007692206395,64547.49457257041,44,30
950051,-304.5497548632082,0.37,2267.342810175253,58465.92639108337,44,30
950052,-231.75141912358023,0.5,1733.65550683837,44350.15073992176,44,30
950053,-290.75050102877185,0.42,2247.2968114383852,69156.04621769197,44,30
950054,-253.6643436151079,0.45,2002.0714713183534,48781.67741009504,44,30
950055,-270.56055804065755,0.42,3490.672296058518,53945.06839241217,44,30
950056,-258.49914087740586,0.43,1903.0067177749527,50185.310963537944,44,30
950057,-209.3131688058681,0.53,1847.3378612586375,43357.98259395435,44,30
950058,-304.6921592857896,0.4,2356.359848149519,71485.93990505,44,30
950059,-225.60018742015222,0.48,2020.458340051163,51060.6209538437,44,30
950060,-230.748252333524,0.49,1967.3780136477021,50643.402508397034,44,30
950061,-244.58915726634393,0.47,1979.7833869238152,56129.460311422765,44,30
950062,-216.6344575042717,0.5,1736.0950005151328,47128.84390974192,44,30
950063,-303.4671503128554,0.39,4895.171188186524,74973.26261104296,44,30
950064,-280.135055160971,0.4,3493.525082126414,47562.49430439911,44,30
950065,-249.2555247240203,0.45,1783.4667476326597,46479.461564669255,44,30
950066,-233.04315821845407,0.46,1896.5761850480371,53038.71553394216,44,30
950067,-262.5101540789866,0.45,2112.135551931097,54735.11607378538,44,30
950068,-282.8493485779716,0.4,2732.561765606719,64463.29520056479,44,30
950069,-196.09811095227982,0.52,1715.2625022525992,47790.291213553486,44,30
950070,-235.36739457583317,0.47,1907.2254867741137,44902.17705004995,44,30
950071,-152.42777487955917,0.59,1458.1357876196346,37932.803533044156,44,30
950072,-248.3947782524302,0.46,2036.371119731132,56910.31064577005,44,30
950073,-260.1750541902723,0.42,2038.1652012312793,48719.42758608789,44,30
950074,-167.03768002939216,0.6,1685.9324435500657,44632.66137049375,44,30
950075,-211.14830602005455,0.52,1779.259842624436,41675.76830242182,44,30
950076,-228.33869283691294,0.48,1645.9425349917115,43128.296716764875,44,30
950077,-221.52413273747092,0.49,1827.6968399348311,50751.35090721853,44,30
950078,-277.4244470608718,0.41,1997.112485096022,54376.53414819517,44,30
950079,-208.52608552034314,0.49,1512.5348832611178,37955.90748389043,44,30
950080,-304.521232154735,0.4,2239.460923611823,69069.26821470879,44,30
950081,-248.26016273268183,0.46,1914.9167208327071,54352.25418594908,44,30
950082,-172.74980368474183,0.56,1736.0314738414495,45622.32181396145,44,30
950083,-267.4049153786563,0.43,1748.2308662525372,46845.89236244347,44,30
950084,-208.26749886919657,0.49,1919.444500796999,54029.872598386835,44,30
950085,-216.65019411452278,0.47,1692.2305529720477,45700.594315030736,44,30
950086,-205.41285357675955,0.49,1647.6688781544842,46157.07998325292,44,30
950087,-224.4479557234809,0.49,1803.0781031123206,49129.79212973896,44,30
950088,-278.8474096605308,0.42,2064.3984922653976,56460.115260169616,44,30
950089,-171.67721024491954,0.57,1722.170136954756,40552.67593552113,44,30
950090,-259.5639292740731,0.42,2443.1383435335492,61763.97323740207,44,30
950091,-281.1155348980317,0.4,1989.7370271653626,52368.35086245727,44,30
950092,-235.07514758306044,0.47,1829.436445795246,53077.01067031515,44,30
950093,-257.9757343135267,0.45,1987.0862017913014,54569.54558841323,44,30
950094,-216.98471707103712,0.48,1694.6962981147537,46742.44097404438,44,30
950095,-283.39533465143796,0.38,1711.6262955978414,45923.99491852175,44,30
950096,-302.95560903189534,0.36,1807.117648850659,39371.57528097747,44,30
950097,-271.7562754431431,0.41,2615.769842815795,62215.86747518001,44,30
950098,-222.89768698618445,0.5,1878.362446468633,48447.95234090638,44,30
950099,-237.86248755226256,0.48,2101.6551030205887,53485.619186131946,44,30
