test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method,saved_episode
950029,-266.1460220874817,0.44,1704.6107842582662,41207.87359126374,MADDPG Seed 42 baseline,30
950030,-216.6751538072268,0.48,1517.432304784301,38057.0273538646,MADDPG Seed 42 baseline,30
950031,-249.2063737248076,0.47,1724.8613829300698,41505.2117417098,MADDPG Seed 42 baseline,30
950032,-245.0545817719635,0.44,1581.4161891280105,32331.15057587992,MADDPG Seed 42 baseline,30
950033,-208.8741199104124,0.51,1757.6146838116538,41151.79846329088,MADDPG Seed 42 baseline,30
950034,-227.990952937833,0.49,1746.4334875708248,45652.002350511495,MADDPG Seed 42 baseline,30
950035,-223.20201388935772,0.49,1713.2146562863254,41908.01558680965,MADDPG Seed 42 baseline,30
950036,-226.18428963473136,0.49,1685.2517092685562,39533.5302072529,MADDPG Seed 42 baseline,30
950037,-225.07573431480432,0.48,1755.4381596852056,43183.32868557427,MADDPG Seed 42 baseline,30
950038,-157.37506763423272,0.58,1343.6604492208005,32302.53402695999,MADDPG Seed 42 baseline,30
950039,-186.92045073206657,0.51,1479.4206634163595,32778.30862584696,MADDPG Seed 42 baseline,30
950040,-155.8214578201003,0.57,1495.740450689829,32456.42635573413,MADDPG Seed 42 baseline,30
950041,-254.3467372404149,0.43,1864.7712201212416,44269.85503439283,MADDPG Seed 42 baseline,30
950042,-212.83563801213683,0.5,1671.4419541765733,39534.07988537023,MADDPG Seed 42 baseline,30
950043,-163.6206065134602,0.56,1610.3550616224518,36801.78210034907,MADDPG Seed 42 baseline,30
950044,-173.99867568093347,0.55,1424.1258785056302,33416.11624274201,MADDPG Seed 42 baseline,30
950045,-214.3579934425593,0.49,1600.9346222349116,42175.09315069834,MADDPG Seed 42 baseline,30
950046,-218.34550417430236,0.49,1636.130733844096,39409.13475264351,MADDPG Seed 42 baseline,30
950047,-237.74913187136357,0.46,1522.8519506399305,29274.514562354376,MADDPG Seed 42 baseline,30
950048,-258.2081985194422,0.45,2015.2207041388565,50526.95586105585,MADDPG Seed 42 baseline,30
950049,-236.8342904662534,0.44,1859.3348298585863,41626.55640182279,MADDPG Seed 42 baseline,30
950050,-256.9128548461032,0.45,2108.168668618496,51822.566586416426,MADDPG Seed 42 baseline,30
950051,-259.4504632797904,0.45,2006.4045612770385,45429.21582618821,MADDPG Seed 42 baseline,30
950052,-196.1208658393799,0.56,1526.0068869709328,34253.48817160845,MADDPG Seed 42 baseline,30
950053,-264.9627859568101,0.45,1928.245971125218,53536.50403220712,MADDPG Seed 42 baseline,30
950054,-221.9515830891844,0.5,1784.417880303273,37906.83836314781,MADDPG Seed 42 baseline,30
950055,-240.07521786922783,0.46,1718.0443639865875,44843.72383354309,MADDPG Seed 42 baseline,30
950056,-221.43069196108888,0.49,1695.6141112042612,40225.714215110085,MADDPG Seed 42 baseline,30
950057,-173.6189743780875,0.59,1574.097380836468,37387.37400514152,MADDPG Seed 42 baseline,30
950058,-274.7041423931266,0.44,2026.9466744360732,55346.21888110112,MADDPG Seed 42 baseline,30
950059,-196.65700415034647,0.52,1790.8089382246676,39647.62964478388,MADDPG Seed 42 baseline,30
950060,-200.41870392757127,0.53,1646.0176832583495,37459.49314052503,MADDPG Seed 42 baseline,30
950061,-211.2516578162862,0.51,1729.2089919960674,43608.072039356266,MADDPG Seed 42 baseline,30
950062,-191.761395468213,0.53,1525.7139269677032,36618.78621352927,MADDPG Seed 42 baseline,30
950063,-278.76642992483977,0.41,2137.0230948621997,59579.19035757642,MADDPG Seed 42 baseline,30
950064,-236.7008647329405,0.47,1688.7338226388936,40086.98857352375,MADDPG Seed 42 baseline,30
950065,-224.87076064804964,0.47,1575.9752157876478,36116.292318419786,MADDPG Seed 42 baseline,30
950066,-195.3602126277318,0.51,1613.8951717029731,40458.09198076328,MADDPG Seed 42 baseline,30
950067,-242.32964171728983,0.47,1867.7971277835304,42532.26230876565,MADDPG Seed 42 baseline,30
950068,-256.63459508414775,0.43,2301.63203023558,56804.252911603005,MADDPG Seed 42 baseline,30
950069,-165.38911688982768,0.56,1501.8919795415795,37132.08155579643,MADDPG Seed 42 baseline,30
950070,-214.8235500992296,0.49,1684.2475398430224,38279.61262635837,MADDPG Seed 42 baseline,30
950071,-135.7161462163367,0.6,1288.8292796632545,29474.64804905267,MADDPG Seed 42 baseline,30
950072,-218.48424672191317,0.5,1782.2952716634773,44218.41516764508,MADDPG Seed 42 baseline,30
950073,-224.10675411512813,0.47,1816.641190892576,37783.35629723813,MADDPG Seed 42 baseline,30
